2020/08/06 05:07:49 [error] 28#28: *280 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:07:51 [error] 29#29: *282 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:07:51 [error] 28#28: *284 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:07:51 [error] 28#28: *284 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:07:51 [error] 28#28: *284 open() "/var/www/frontend/favicon.ico" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:8000", referrer: "http://127.0.0.1:8000/"
2020/08/06 05:08:57 [error] 28#28: *284 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:08:57 [error] 28#28: *284 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:08:57 [error] 29#29: *282 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:01 [error] 29#29: *282 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:01 [error] 29#29: *282 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:01 [error] 29#29: *282 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:34 [error] 29#29: *282 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:34 [error] 28#28: *284 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:34 [error] 28#28: *284 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:42 [error] 28#28: *284 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:42 [error] 29#29: *282 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:10:42 [error] 29#29: *282 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:12:23 [error] 29#29: *282 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:12:23 [error] 28#28: *284 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:12:23 [error] 28#28: *284 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:13:54 [error] 28#28: *284 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
